id,accession_name,brix_percent,apparent_purity_percent,tiller_number
ss_050,yunnan76-Ⅲ-20,14.43,32.41,9
ss_051,yunnan82-103,12.13,40.63,6.666666667
ss_052,yunnan82-12,11.82,35.79,11.33333333
ss_053,yunnan82-20,11.19,33.7,14
ss_054,yunnan82-34,12.59,41.6,10
ss_055,yunnan83-189,13.02,43.78,6.333333333
ss_056,yunnan83-207,13.87,42.58,6.333333333
ss_057,yunnan83-213,16.11,48.56,11.66666667
ss_058,yunnan83-231,13.99,34.77,6
ss_059,yunnan83-235,15.81,36.09,17.66666667
ss_060,yunnan84-247,16.93,35.42,14
ss_061,yunnan84-259,17.41,39.14,11.33333333
ss_062,yunnan84-264,15.12,28.77,10
ss_063,yunnanheqing,14.93,59.76,8.666666667
ss_064,yunnankaiyuan,15.81,42.58,7.666666667
ss_065,fujian88-Ⅰ-13,15.7,22.79,9.666666667
ss_066,fujian88-Ⅰ-12,15.15,22.7,13
ss_067,fujian89-Ⅰ-7,15.86,32.29,8
ss_068,guangdong-8,14.96,46.52,16
ss_069,guangdong-67,14.33,46.63,12
ss_070,sichuan79-Ⅱ-10,16.61,50.26,13.33333333
ss_071,yunnan82-132,14.06,42.66,8.666666667
ss_072,yunnan82-136,15.07,44.96,13
ss_073,yunnan83-193,16.95,43.74,11
ss_074,fujian92-Ⅰ-12,17.3,42.49,14.33333333
ss_075,guangdong-45,9.98,28.4,6.333333333
ss_076,guangdong-50,15.81,53.61,19.66666667
ss_077,guangdong-74,13.92,29.8,7.333333333
ss_078,yunnan75-Ⅰ-6,13.9,30.37,8
ss_079,yunnan75-Ⅱ-8,16.74,38.63,8
ss_080,yunnan76-Ⅰ-012,15.41,51.87,16.33333333
ss_081,yunnan82-84,12.06,30.11,12.33333333
ss_082,yunnan83-163,16.12,50.97,7
ss_083,yunnan83-201,15.94,28.88,15.33333333
ss_084,yunnan83-208,12.56,20.36,15.66666667
ss_085,yunnan84-248,14.74,41.39,5
ss_086,yunnan84-251,17.27,48.64,11
ss_087,yunnan84-256,15.32,38.14,9.666666667
ss_088,hainan92-14,16.98,46.1,5.666666667
ss_089,guangdong-58,18.02,51.88,11
ss_090,yunnan83-200,11.79,29.56,10.66666667
ss_091,yunnan87-40,11.64,35.94,8.333333333
ss_092,guangdong-3,14.64,54.3,14.33333333
ss_093,guizhou78-Ⅱ-09,17.83,56.96,7.666666667
ss_094,yunnan75-Ⅱ-28,15.53,43.42,16.33333333
ss_095,yunnan76-Ⅲ-13,14.54,52.16,7.666666667
ss_096,yunnan82-145,16.83,31.6,15
ss_097,yunnan87-26,13.6,37.98,6.666666667
ss_098,yunnan83-159,16.39,47.4,9.333333333
ss_099,guangdong-2,17.47,49.16,14.33333333
ss_100,yunnan83-157,15.73,45.3,8
ss_101,yunnan83-166,17.44,45.73,7.333333333
ss_102,fujian88-Ⅰ-3,16.52,22.63,16.66666667
ss_103,fujian79-Ⅱ-4,17.27,33.13,10.33333333
ss_104,fujian92-Ⅰ-11,16.03,21.37,12.66666667
ss_105,fujian92-Ⅰ-19,15.81,21.54,7.333333333
ss_106,sichuan79-Ⅰ-16,18.95,47.32,13.66666667
ss_107,sichuan79-Ⅰ-21,17.05,39.6,8.666666667
ss_108,sichuan79-Ⅱ-6,14.8,42.39,13.33333333
ss_109,sichuan88-18,18.14,48.02,12
ss_110,sichuan88-34,19.27,48.51,15
ss_111,sichuan88-48,17.78,40.17,9.333333333
ss_112,sichuan92-17,15.67,39.27,7
ss_113,sichuan92-28,16.77,44.08,23.66666667
ss_114,sichuan92-31,15.19,50.62,8.333333333
ss_115,sichuan92-46,15.61,59.03,11.33333333
ss_116,sichuan92-5,15.96,53.36,7.666666667
ss_117,sichuanfushun-5,17.44,45.9,13.66666667
ss_118,sichuanjianyang-8,18.05,43.16,21.66666667
ss_119,sichuanneijiang-36,18.49,42.73,9.333333333
ss_120,sichuanneijiang-4,19.36,42.65,7.666666667
ss_121,sichuanneijiangbadi,18.3,42.39,6.666666667
ss_122,sichuanzizhong-3,16.31,46.62,7.333333333
ss_123,sichuanzizhong-9,16.88,41.18,11
ss_124,yunnan75-Ⅰ-10,15.44,28.27,12.33333333
ss_125,yunnan75-Ⅱ-2,13.78,31.72,11
ss_126,yunnan82-24,11.77,32.57,15.33333333
ss_127,yunnan82-7,15.03,30.89,7.666666667
ss_128,yunnan82-70,13.49,37.21,11
ss_129,fujianhuian,14.57,22.12,8.666666667
ss_130,sichuan79-Ⅰ-20,14.11,41.24,13.33333333
ss_131,sichuan92-18,13.98,39.02,9.666666667
ss_132,sichuan92-30,15.11,47.78,12
ss_133,sichuan92-34,13.59,41.11,12.66666667
ss_134,sichuanneijiang-1,17.67,41.68,11.33333333
ss_135,sichuanneijiang-44,18.71,48.65,10.66666667
ss_136,guangxige-1,15.93333333,31.7944205,8.333333333
ss_137,fujian79-Ⅱ-18,13.97,32.87,19.33333333
ss_138,guangdong-55,18.93,28.34,12.66666667
ss_139,guangdong-71,17.29,41.82,13.33333333
ss_140,guangdong-75,15.78,41.61,11.66666667
ss_141,guizhou78-Ⅱ-04,15.23,52.22,7.333333333
ss_142,hainan92-41,16.58,42.42,10
ss_143,sichuan79-Ⅰ-6,12.81,38.31,10
ss_144,sichuan92-49,18.32,54.12,10.66666667
ss_145,yunnan75-Ⅰ-21,13.67,23.14,NA
ss_146,yunnan75-Ⅰ-4,15.12,52.96,10.33333333
ss_147,yunnan75-Ⅱ-27,16.66,40.43,13
ss_148,yunnan82-134,13.99,47.06,9.666666667
ss_149,yunnan82-77,11.68,21.76,13.33333333
ss_150,yunnan82-79,12.06,37.33,9.666666667
ss_151,yunnan83-167,16.2,40.62,10.66666667
ss_152,yunnan83-169,16.69,41.26,11.33333333
ss_153,yunnan83-171,16.39,45.15,7
ss_154,yunnan83-185,18.77,45.09,8.333333333
ss_155,yunnan-4,17.83,51.33,12.33333333
ss_156,yunnanzhedianbaihuacao,15.61,30.62,13.66666667
ss_157,fujian87-Ⅰ-10,11.93,29.21,NA
ss_158,fujian87-Ⅰ-11,11.99,20.54,17.66666667
ss_159,fujian89-Ⅰ-21,10.83,15.01,7.333333333
ss_160,guangdong-46,17.31,59.38,7.333333333
ss_161,sichuan79-Ⅰ-31,17.42,50.43,5.333333333
ss_162,sichuan92-33,12.42,31.19,11.66666667
ss_163,sichuan92-42,14.87,42.83,8
ss_164,sichuan92-7,19.66,64,10.66666667
ss_165,India-1,17.21,53.52,15
ss_166,hainan92-23,15.84667,40.20265,6.666666667
ss_167,hainan92-72,15.40667,35.20556,10
ss_168,guangdong-21,17.65,58.58,13
ss_169,guangdong-48,17.41,44.61,11.66666667
ss_170,guangdong-78,17.23,54.85,8.666666667
ss_171,hainan92-2,17.56,38.52,5.666666667
ss_172,hainanhaikou,11.69,24.94,15.66666667
ss_173,yunnan82-120,11.75,29.46,7
ss_174,yunnan82-83,10.7,32.03,9.666666667
ss_175,yunnan83-160,14.47,32.02,7
ss_176,yunnan83-181,21.07,56.17,8.666666667
ss_177,yunnan84-249,14.12,41.2,8.666666667
ss_178,guangdong-40,15.37,40.41,8
ss_179,guangdong-53,17.71,46.26,18.33333333
ss_180,hainan92-46,13.69,34.49,10
ss_181,sichuan79-Ⅰ-8,15.71,23.38,11.66666667
ss_182,sichuan79-Ⅱ-11,13.1,24.19,14.66666667
ss_183,yunnan75-Ⅱ-12,15.37,42.79,6.666666667
ss_184,yunnan75-Ⅱ-7,14.93,45.76,7.333333333
ss_185,yunnan76-Ⅲ-39,14.93,33.4,5.333333333
ss_186,yunnan82-86,11.08,22.76,9.666666667
ss_187,yunnan83-184,17.57,40.52,7.333333333
ss_188,hainan92-18,18.96,51.01899,10.33333333
ss_189,hainan92-61,16.64667,43.72079,8.333333333
ss_190,hainan92-16,14.96667,43.87304,14.33333333
ss_191,fujianxianyou-1,16.17,25.4,10.66666667
ss_192,guangdong-23,16.53,34.29,10.66666667
ss_193,guangdong-47,16.71,36.52,11.33333333
ss_194,sichuan79-Ⅰ-17,17.15,47.84,9.666666667
ss_195,yunnan76-Ⅱ-25,16.25,38.78,9
ss_196,yunnan75-Ⅱ-21,14.74,31.53,5.666666667
ss_197,yunnan75-Ⅱ-23,16.93,39.44,6
ss_198,yunnan76-Ⅲ-17,15.91,47.23,10.66666667
ss_199,yunnan82-141,12.89,40,11.66666667
ss_200,yunnan83-210,16.41,46.72,7
ss_201,yunnan87-27,13.19,39.06,9
ss_202,yunnan87-30,12.27,40.28,9.666666667
ss_203,yunnan-7,17.22,4.83,12
ss_204,guangdong-33,17.25,45.77,12.33333333
ss_205,guizhou78-Ⅰ-31,14.46,40.71,9
ss_206,hainan92-3,19.73,43.71,9
ss_207,hainan92-7,15.5,26.73,6
ss_208,sichuan79-Ⅱ-9,16.01,44.17,10
ss_209,yunnan75-Ⅰ-8,14.28,35.38,11.66666667
ss_210,yunnan75-Ⅱ-26,19.05,45.44,7.666666667
ss_211,yunnan76-Ⅰ-003,15.21,55.98,14.66666667
ss_212,yunnan82-116,13.08,38.42,10
ss_213,yunnan82-67,11.6,33.73,9
ss_214,hainan92-56,12.66667,39.39018,11.66666667
ss_215,hainan92-24,15.47333,27.44036,8.333333333
ss_216,fujian79-Ⅱ-9,15.69,40.13,7
ss_217,hainan-3,14.29,40.69,10.33333333
ss_218,hainan92-52,14.56,31.95,6.666666667
ss_219,yunnan82-111,11,18.85,8
ss_220,yunnan87-29,15.39,44.15,9.666666667
ss_221,yunnan-1,18.15,53.57,10.66666667
ss_222,fujianxianyou-2,15.44,22.87,8.666666667
ss_223,guangdong-41,16.98,49.97,7.333333333
ss_224,guizhou-26,13.9,30.71,8
ss_225,yunnan-8,12.81,36.17,25.33333333
ss_226,yunnan-2,16.03,48.98,9
ss_227,guizhou78-Ⅰ-11,13.64,25.56,9.333333333
ss_228,yunnan82-112,13.81,35.77,7.666666667
ss_229,hainan92-5,15.95,36.82,15.33333333
ss_230,yunnan75-Ⅱ-34,17.83,52.19,7.666666667
ss_231,guangxige-4,15.06,45.48663347,NA
ss_232,fujian87-Ⅰ-4,15.08,23.3,16.66666667
ss_233,guangdong-31,15.13,15.74,13.66666667
ss_234,guangxi87-17,18.02666667,46.85838018,9.666666667
ss_235,hainan92-60,12.9,40.74509,8
ss_236,guangxi92-6,17.34,37.20239331,12.66666667
ss_237,hainan92-8,18.4,46.62218,9.666666667
ss_238,guangxi87-13,16.46,33.66798906,9
ss_239,guangxi86-8,11.75333333,23.92324731,9.666666667
ss_241,yunnan75-Ⅱ-4,17.09,54.73,12.33333333
ss_242,yunnan82-14,12.68,43.44,13
ss_243,yunnan82-149,13.82,21.08,8
ss_244,guangxitianlin,19.85333333,56.26194762,16.66666667
ss_245,guangxi87-14,16.61333333,42.45064406,9.333333333
ss_246,guangxi92-16,12.46,18.91841894,11
ss_247,hainan92-34,18.7,52.28883,8.333333333
ss_248,guangxi87-23,15.36,42.3085612,7
ss_249,guangxi87-1,16.07333333,35.90361676,4.333333333
ss_250,hainan92-63,15.53333,33.16693,8.666666667
ss_251,fujian89-Ⅰ-17,14.41,35.22,10.66666667
ss_252,fujianputian,11.92,25.26,11.66666667
ss_253,guangdong-29,12.8,11.05,NA
ss_254,guangdong-36,16.76,49.38,NA
ss_257,guangdonghuanzhou,16.44,28.37,11.66666667
ss_258,guizhou78-Ⅱ-08,16.35,57.25,7.666666667
ss_259,hainan92-31,16.23,42.59,6
ss_260,guangxi87-25,14.40666667,51.61600648,12.33333333
ss_261,fujian87-Ⅰ-14,12.21,20.97,12.33333333
ss_262,hainanyanglan-9,14.86,26.63,7
ss_263,yunnanmanhao-1,17.05,49.17,8
ss_264,hainanyacheng-1,14.77,36.47,9
ss_265,guangdong-28,15.17,30.76,10.33333333
ss_266,guangdong-44,18.12,49.7,8.333333333
ss_267,yunnan76-Ⅲ-18,13.52,34.38,11.66666667
ss_268,yunnan87-47,12.63,25.33,9
ss_269,hainan92-39,12.34,47.53,9
ss_270,guangdong-81,16.91,52.91,5.333333333
ss_271,Vietnam-3,16.68,27.67,0
ss_272,hainan92-66,14.93333,39.03041,6.666666667
ss_273,hainan-2,13.79,46.55,8
ss_274,hainan92-50,15.39,32.05,8
ss_275,yunnan82-110,15.69,53.09,12
ss_276,Thailand	S.SP2003-1,16.08,51.77,11
ss_277,hainan92-47,13.79,49.07,7.666666667
ss_278,Thailand	S.SP98T-266,11.49,18.87,5
ss_279,fujian89-Ⅰ-19,12.14,28.47897,13.33333333
ss_280,guangxi87-51,16.45333333,41.2657658,6.666666667
ss_281,guangxige-3,16.54666667,48.07843272,7.333333333
ss_282,guangxi85-13,12.71333333,28.09,7
ss_283,guangxi87-53,18.78666667,42.86518275,14.33333333
ss_284,guangxi92-1,16.22666667,35.09789852,9.333333333
ss_285,guangxi83-25,15.82,42.89,8.333333333
ss_286,guangdong-80,16.18,41.88,9
ss_287,sichuanzizhong-2,17.73,37.43,9.333333333
ss_288,yunnan82-63,12.17,27.37,6.333333333
ss_289,yunnan82-65,13.99,29.46,12
ss_290,yunnan82-16,15.65,40.09,7
ss_291,guangxi87-16,13.65333333,40.54476563,6
ss_292,hainan92-32,17.27333,52.75046,7.666666667
ss_293,guangxi87-46,10.45333333,9.332018495,5
ss_294,guangxi87-21,18.57333333,60.38360912,6.333333333
ss_300,sichuan79-Ⅱ-1,20.98,53.84,9.333333333
