id,accession_name,brix_percent,apparent_purity_percent,tiller_number,query_used,sra_uid_count,sra_uids,chosen_uid,srx,srr,srp,prjna,srs,samn,library_name,organism,instrument,title
ss_029,yunnan83-240,15.89,29.59,7.333333333,PRJNA1303125 library_name=Ss_029,1,40443065,40443065,SRX30301071,SRR35197309,SRP608715,PRJNA1303125,SRS26349345,SAMN50496977,Ss_029,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_030,guangdong-6,14.87,35.73,10.66666667,PRJNA1303125 library_name=Ss_030,1,41203098,41203098,SRX30883412,SRR35834070,SRP608715,PRJNA1303125,SRS26885967,SAMN50496978,Ss_030,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_031,guangdong-12,17.44,49.55,12,PRJNA1303125 library_name=Ss_031,1,40443066,40443066,SRX30301072,SRR35197308,SRP608715,PRJNA1303125,SRS26349346,SAMN50496979,Ss_031,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_032,guangdong-17,14.35,38.82,13.33333333,PRJNA1303125 library_name=Ss_032,1,41203099,41203099,SRX30883413,SRR35834069,SRP608715,PRJNA1303125,SRS26885968,SAMN50496980,Ss_032,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_033,guangdong-60,17.89,52,22.66666667,PRJNA1303125 library_name=Ss_033,1,40211267,40211267,SRX30096626,SRR34977627,SRP608715,PRJNA1303125,SRS26161433,SAMN50496981,Ss_033,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_034,guizhou78-Ⅱ-012,18.83,50.74,6.666666667,PRJNA1303125 library_name=Ss_034,1,41203100,41203100,SRX30883414,SRR35834068,SRP608715,PRJNA1303125,SRS26885970,SAMN50496982,Ss_034,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_035,jiangxi79-17,17.92,46.09,11,PRJNA1303125 library_name=Ss_035,1,40211205,40211205,SRX30096564,SRR34977689,SRP608715,PRJNA1303125,SRS26161371,SAMN50496983,Ss_035,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_036,jiangxi79-27,18.29,44.7,10.66666667,PRJNA1303125 library_name=Ss_036,1,41203101,41203101,SRX30883415,SRR35834067,SRP608715,PRJNA1303125,SRS26885969,SAMN50496984,Ss_036,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_037,sichuan74-Ⅰ-14,19.64,43.83,12.33333333,PRJNA1303125 library_name=Ss_037,1,40211206,40211206,SRX30096565,SRR34977688,SRP608715,PRJNA1303125,SRS26161372,SAMN50496985,Ss_037,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_038,sichuan76-Ⅱ-16,16.86,36.73,9.666666667,PRJNA1303125 library_name=Ss_038,1,41203045,41203045,SRX30883359,SRR35834123,SRP608715,PRJNA1303125,SRS26885914,SAMN50496986,Ss_038,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_040,sichuan79-Ⅰ-19,17.65,51.51,10.33333333,PRJNA1303125 library_name=Ss_040,1,41203046,41203046,SRX30883360,SRR35834122,SRP608715,PRJNA1303125,SRS26885915,SAMN50496987,Ss_040,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_041,sichuan79-Ⅰ-27,18.97,54.19,9,PRJNA1303125 library_name=Ss_041,1,40211207,40211207,SRX30096566,SRR34977687,SRP608715,PRJNA1303125,SRS26161373,SAMN50496988,Ss_041,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_042,sichuan79-Ⅰ-4,20.2,51.58,NA,PRJNA1303125 library_name=Ss_042,1,41203047,41203047,SRX30883361,SRR35834121,SRP608715,PRJNA1303125,SRS26885916,SAMN50496989,Ss_042,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_043,sichuan88-4,19.05,45.44,14.33333333,PRJNA1303125 library_name=Ss_043,1,40211208,40211208,SRX30096567,SRR34977686,SRP608715,PRJNA1303125,SRS26161374,SAMN50496990,Ss_043,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_044,sichuan92-12,12.47,45,8.333333333,PRJNA1303125 library_name=Ss_044,1,41203048,41203048,SRX30883362,SRR35834120,SRP608715,PRJNA1303125,SRS26885917,SAMN50496991,Ss_044,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_045,sichuan92-14,14.45,39.18,11.66666667,PRJNA1303125 library_name=Ss_045,1,40211210,40211210,SRX30096569,SRR34977684,SRP608715,PRJNA1303125,SRS26161376,SAMN50496992,Ss_045,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_046,sichuan92-16,17.39,46.48,18.66666667,PRJNA1303125 library_name=Ss_046,1,41136178,41136178,SRX30825572,SRR35776253,SRP608715,PRJNA1303125,SRS26835396,SAMN50496993,Ss_046,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_047,sichuan92-38,19.07,55.23,10.33333333,PRJNA1303125 library_name=Ss_047,1,40211211,40211211,SRX30096570,SRR34977683,SRP608715,PRJNA1303125,SRS26161377,SAMN50496994,Ss_047,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_048,yunnan76-Ⅰ-024,17.52,50.24,9,PRJNA1303125 library_name=Ss_048,1,41203049,41203049,SRX30883363,SRR35834119,SRP608715,PRJNA1303125,SRS26885918,SAMN50496995,Ss_048,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_049,yunnan75-Ⅱ-35,16.35,43.94,7.333333333,PRJNA1303125 library_name=Ss_049,1,41203050,41203050,SRX30883364,SRR35834118,SRP608715,PRJNA1303125,SRS26885919,SAMN50496996,Ss_049,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_050,yunnan76-Ⅲ-20,14.43,32.41,9,PRJNA1303125 library_name=Ss_050,1,41136177,41136177,SRX30825571,SRR35776254,SRP608715,PRJNA1303125,SRS26835395,SAMN50496997,Ss_050,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_051,yunnan82-103,12.13,40.63,6.666666667,PRJNA1303125 library_name=Ss_051,1,41203051,41203051,SRX30883365,SRR35834117,SRP608715,PRJNA1303125,SRS26885920,SAMN50496998,Ss_051,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_052,yunnan82-12,11.82,35.79,11.33333333,PRJNA1303125 library_name=Ss_052,1,41203052,41203052,SRX30883366,SRR35834116,SRP608715,PRJNA1303125,SRS26885921,SAMN50496999,Ss_052,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_053,yunnan82-20,11.19,33.7,14,PRJNA1303125 library_name=Ss_053,1,41203053,41203053,SRX30883367,SRR35834115,SRP608715,PRJNA1303125,SRS26885922,SAMN50497000,Ss_053,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_054,yunnan82-34,12.59,41.6,10,PRJNA1303125 library_name=Ss_054,1,41203054,41203054,SRX30883368,SRR35834114,SRP608715,PRJNA1303125,SRS26885923,SAMN50497001,Ss_054,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_055,yunnan83-189,13.02,43.78,6.333333333,PRJNA1303125 library_name=Ss_055,1,41203056,41203056,SRX30883370,SRR35834112,SRP608715,PRJNA1303125,SRS26885925,SAMN50497002,Ss_055,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_056,yunnan83-207,13.87,42.58,6.333333333,PRJNA1303125 library_name=Ss_056,1,41203057,41203057,SRX30883371,SRR35834111,SRP608715,PRJNA1303125,SRS26885926,SAMN50497003,Ss_056,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_057,yunnan83-213,16.11,48.56,11.66666667,PRJNA1303125 library_name=Ss_057,1,41203058,41203058,SRX30883372,SRR35834110,SRP608715,PRJNA1303125,SRS26885927,SAMN50497004,Ss_057,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_058,yunnan83-231,13.99,34.77,6,PRJNA1303125 library_name=Ss_058,1,41203059,41203059,SRX30883373,SRR35834109,SRP608715,PRJNA1303125,SRS26885928,SAMN50497005,Ss_058,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_059,yunnan83-235,15.81,36.09,17.66666667,PRJNA1303125 library_name=Ss_059,1,41203060,41203060,SRX30883374,SRR35834108,SRP608715,PRJNA1303125,SRS26885929,SAMN50497006,Ss_059,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_060,yunnan84-247,16.93,35.42,14,PRJNA1303125 library_name=Ss_060,1,41203061,41203061,SRX30883375,SRR35834107,SRP608715,PRJNA1303125,SRS26885930,SAMN50497007,Ss_060,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_061,yunnan84-259,17.41,39.14,11.33333333,PRJNA1303125 library_name=Ss_061,1,41203062,41203062,SRX30883376,SRR35834106,SRP608715,PRJNA1303125,SRS26885931,SAMN50497008,Ss_061,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_062,yunnan84-264,15.12,28.77,10,PRJNA1303125 library_name=Ss_062,1,41203063,41203063,SRX30883377,SRR35834105,SRP608715,PRJNA1303125,SRS26885932,SAMN50497009,Ss_062,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_063,yunnanheqing,14.93,59.76,8.666666667,PRJNA1303125 library_name=Ss_063,1,41203064,41203064,SRX30883378,SRR35834104,SRP608715,PRJNA1303125,SRS26885933,SAMN50497010,Ss_063,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_064,yunnankaiyuan,15.81,42.58,7.666666667,PRJNA1303125 library_name=Ss_064,1,41002685,41002685,SRX30722300,SRR35670640,SRP608715,PRJNA1303125,SRS26739652,SAMN50497011,Ss_064,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_065,fujian88-Ⅰ-13,15.7,22.79,9.666666667,PRJNA1303125 library_name=Ss_065,1,41203065,41203065,SRX30883379,SRR35834103,SRP608715,PRJNA1303125,SRS26885934,SAMN50497012,Ss_065,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_066,fujian88-Ⅰ-12,15.15,22.7,13,PRJNA1303125 library_name=Ss_066,1,41203067,41203067,SRX30883381,SRR35834101,SRP608715,PRJNA1303125,SRS26885936,SAMN50497013,Ss_066,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_067,fujian89-Ⅰ-7,15.86,32.29,8,PRJNA1303125 library_name=Ss_067,1,41203068,41203068,SRX30883382,SRR35834100,SRP608715,PRJNA1303125,SRS26885937,SAMN50497014,Ss_067,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_068,guangdong-8,14.96,46.52,16,PRJNA1303125 library_name=Ss_068,1,41203069,41203069,SRX30883383,SRR35834099,SRP608715,PRJNA1303125,SRS26885938,SAMN50497015,Ss_068,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_069,guangdong-67,14.33,46.63,12,PRJNA1303125 library_name=Ss_069,1,41136201,41136201,SRX30825595,SRR35776230,SRP608715,PRJNA1303125,SRS26835420,SAMN50497016,Ss_069,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_070,sichuan79-Ⅱ-10,16.61,50.26,13.33333333,PRJNA1303125 library_name=Ss_070,1,41203070,41203070,SRX30883384,SRR35834098,SRP608715,PRJNA1303125,SRS26885939,SAMN50497017,Ss_070,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_071,yunnan82-132,14.06,42.66,8.666666667,PRJNA1303125 library_name=Ss_071,1,41203071,41203071,SRX30883385,SRR35834097,SRP608715,PRJNA1303125,SRS26885940,SAMN50497018,Ss_071,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_072,yunnan82-136,15.07,44.96,13,PRJNA1303125 library_name=Ss_072,1,41136200,41136200,SRX30825594,SRR35776231,SRP608715,PRJNA1303125,SRS26835418,SAMN50497019,Ss_072,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_073,yunnan83-193,16.95,43.74,11,PRJNA1303125 library_name=Ss_073,1,41203072,41203072,SRX30883386,SRR35834096,SRP608715,PRJNA1303125,SRS26885942,SAMN50497020,Ss_073,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_074,fujian92-Ⅰ-12,17.3,42.49,14.33333333,PRJNA1303125 library_name=Ss_074,1,41203073,41203073,SRX30883387,SRR35834095,SRP608715,PRJNA1303125,SRS26885941,SAMN50497021,Ss_074,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_075,guangdong-45,9.98,28.4,6.333333333,PRJNA1303125 library_name=Ss_075,1,41203074,41203074,SRX30883388,SRR35834094,SRP608715,PRJNA1303125,SRS26885943,SAMN50497022,Ss_075,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_076,guangdong-50,15.81,53.61,19.66666667,PRJNA1303125 library_name=Ss_076,1,40211212,40211212,SRX30096571,SRR34977682,SRP608715,PRJNA1303125,SRS26161378,SAMN50497023,Ss_076,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_077,guangdong-74,13.92,29.8,7.333333333,PRJNA1303125 library_name=Ss_077,1,40443067,40443067,SRX30301073,SRR35197307,SRP608715,PRJNA1303125,SRS26349347,SAMN50497024,Ss_077,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_078,yunnan75-Ⅰ-6,13.9,30.37,8,PRJNA1303125 library_name=Ss_078,1,40443068,40443068,SRX30301074,SRR35197306,SRP608715,PRJNA1303125,SRS26349348,SAMN50497025,Ss_078,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_079,yunnan75-Ⅱ-8,16.74,38.63,8,PRJNA1303125 library_name=Ss_079,1,40443069,40443069,SRX30301075,SRR35197305,SRP608715,PRJNA1303125,SRS26349349,SAMN50497026,Ss_079,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_080,yunnan76-Ⅰ-012,15.41,51.87,16.33333333,PRJNA1303125 library_name=Ss_080,1,40443070,40443070,SRX30301076,SRR35197304,SRP608715,PRJNA1303125,SRS26349350,SAMN50497027,Ss_080,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_081,yunnan82-84,12.06,30.11,12.33333333,PRJNA1303125 library_name=Ss_081,1,40443071,40443071,SRX30301077,SRR35197303,SRP608715,PRJNA1303125,SRS26349351,SAMN50497028,Ss_081,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_082,yunnan83-163,16.12,50.97,7,PRJNA1303125 library_name=Ss_082,1,40443072,40443072,SRX30301078,SRR35197302,SRP608715,PRJNA1303125,SRS26349352,SAMN50497029,Ss_082,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_083,yunnan83-201,15.94,28.88,15.33333333,PRJNA1303125 library_name=Ss_083,1,40211213,40211213,SRX30096572,SRR34977681,SRP608715,PRJNA1303125,SRS26161379,SAMN50497030,Ss_083,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_084,yunnan83-208,12.56,20.36,15.66666667,PRJNA1303125 library_name=Ss_084,1,40443073,40443073,SRX30301079,SRR35197301,SRP608715,PRJNA1303125,SRS26349353,SAMN50497031,Ss_084,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_085,yunnan84-248,14.74,41.39,5,PRJNA1303125 library_name=Ss_085,1,40443074,40443074,SRX30301080,SRR35197300,SRP608715,PRJNA1303125,SRS26349354,SAMN50497032,Ss_085,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_086,yunnan84-251,17.27,48.64,11,PRJNA1303125 library_name=Ss_086,1,41203075,41203075,SRX30883389,SRR35834093,SRP608715,PRJNA1303125,SRS26885944,SAMN50497033,Ss_086,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_087,yunnan84-256,15.32,38.14,9.666666667,PRJNA1303125 library_name=Ss_087,1,41203076,41203076,SRX30883390,SRR35834092,SRP608715,PRJNA1303125,SRS26885945,SAMN50497034,Ss_087,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_088,hainan92-14,16.98,46.1,5.666666667,PRJNA1303125 library_name=Ss_088,1,41203078,41203078,SRX30883392,SRR35834090,SRP608715,PRJNA1303125,SRS26885947,SAMN50497035,Ss_088,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_089,guangdong-58,18.02,51.88,11,PRJNA1303125 library_name=Ss_089,1,41203079,41203079,SRX30883393,SRR35834089,SRP608715,PRJNA1303125,SRS26885948,SAMN50497036,Ss_089,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_090,yunnan83-200,11.79,29.56,10.66666667,PRJNA1303125 library_name=Ss_090,1,41203080,41203080,SRX30883394,SRR35834088,SRP608715,PRJNA1303125,SRS26885949,SAMN50497037,Ss_090,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_091,yunnan87-40,11.64,35.94,8.333333333,PRJNA1303125 library_name=Ss_091,1,41136199,41136199,SRX30825593,SRR35776232,SRP608715,PRJNA1303125,SRS26835417,SAMN50497038,Ss_091,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_092,guangdong-3,14.64,54.3,14.33333333,PRJNA1303125 library_name=Ss_092,1,41203081,41203081,SRX30883395,SRR35834087,SRP608715,PRJNA1303125,SRS26885950,SAMN50497039,Ss_092,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
